169.254.170.2_remote.6,AWS::StepFunctions::StateMachine.6,AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement.6,DynamoDB_AWS::DynamoDB.6,Evidently_AWS::Evidently.6,PGSQL Query_remote.6,PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage.6,PetSearch_AWS::ECS::Fargate.6,PetSearch_client.6,PetSite.6,SSM_AWS::SSM.6,STS_AWS::STS.6,Servi-searc.us-west-2.elb.amazonaws.com_remote.6,SimpleNotificationService_AWS::SimpleNotificationService.6,SimpleSystemsManagement_AWS::SimpleSystemsManagement.6,StepFunctions_AWS::StepFunctions.6,adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL.6,amazon.com_remote.6,execute-api.us-west-2.amazonaws.com_remote.6,https://sqs.us-west-2.amazonaws.com/Services-sqspetadoption_AWS::SQS::Queue.6,lambda_step_priceGreaterThan55.6,lambda_step_priceGreaterThan55_AWS::Lambda.6,lambda_step_priceGreaterThan55_AWS::Lambda::Function.6,lambda_step_priceLessThan55.6,lambda_step_priceLessThan55_AWS::Lambda.6,lambda_step_priceLessThan55_AWS::Lambda::Function.6,lambda_step_readDDB.6,lambda_step_readDDB_AWS::Lambda.6,lambda_step_readDDB_AWS::Lambda::Function.6,lambdastatusupdater_AWS::Lambda.6,lambdastatusupdater_AWS::Lambda::Function.6,payforadoption_AWS::ECS::Container.6,petInfo_AWS::DynamoDB::Table.6,petlistadoptions_AWS::ECS::Fargate.6,petlistadoptions_client.6,servi-lista.us-west-2.elb.amazonaws.com_remote.6,servi-petsi.us-west-2.elb.amazonaws.com_remote.6,servi-searc.us-west-2.elb.amazonaws.com_remote.6,www.amazon.com_remote.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26.086956521739125,100.0,100.0,0.0,100.0,100.0,100.0,100.0,99.8581560283688,100.0,0,100.0,100.0,100.0,0,100.0,100.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,26.315789473684205,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,100.0,0,100.0,0,0.0,0.0,0.0,0.0,0.0,100.0,85.71428571428571,85.71428571428571,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,18.51851851851852,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,100.0,100.0,0,100.0,100.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,94.44444444444444,87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,35.294117647058826,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,100.0,100.0,0,100.0,100.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,30.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,100.0,100.0,0,100.0,100.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,38.46153846153846,100.0,100.0,0.0,100.0,100.0,100.0,100.0,99.42528735632185,100.0,0,100.0,100.0,100.0,0,100.0,100.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,30.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,100.0,100.0,0,100.0,100.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,22.22222222222223,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,100.0,100.0,0,100.0,100.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,26.66666666666667,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,100.0,100.0,0,100.0,100.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
