scenario,split,topk,metric,issue,ground_truth,intopk,empty
low_traffic,train,1,latency,0,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,latency,0,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,1,latency,1,PetSearch_AWS::ECS::Fargate,False,True
low_traffic,train,3,latency,1,PetSearch_AWS::ECS::Fargate,False,True
low_traffic,train,1,latency,2,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,latency,2,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,latency,3,PetSearch_AWS::ECS::Fargate,False,True
low_traffic,train,3,latency,3,PetSearch_AWS::ECS::Fargate,False,True
low_traffic,train,1,availability,4,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,availability,4,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,availability,5,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,availability,5,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,availability,6,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,availability,6,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,availability,7,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,availability,7,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,test,1,latency,0,petInfo_AWS::DynamoDB::Table,True,False
low_traffic,test,3,latency,0,petInfo_AWS::DynamoDB::Table,True,False
low_traffic,test,1,latency,1,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,3,latency,1,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,availability,2,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,3,availability,2,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,availability,3,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,3,availability,3,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,availability,4,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,3,availability,4,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,1,availability,5,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,3,availability,5,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,availability,6,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,availability,6,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,availability,7,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,availability,7,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,availability,8,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,3,availability,8,payforadoption_AWS::ECS::Container,True,False
