label,id
169.254.170.2_remote,0
AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,1
DynamoDB_AWS::DynamoDB,2
Evidently_AWS::Evidently,3
PGSQL Query_remote,4
PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,5
PetSearch_AWS::ECS::Fargate,6
PetSearch_client,7
PetSite,8
SSM_AWS::SSM,9
STS_AWS::STS,10
SimpleNotificationService_AWS::SimpleNotificationService,11
SimpleSystemsManagement_AWS::SimpleSystemsManagement,12
StepFnStateMachine76D362E8-T67Tg48ke8oK_client,13
amazon.com_remote,14
lambda_step_priceGreaterThan55,15
lambda_step_priceGreaterThan55_AWS::Lambda,16
lambda_step_priceGreaterThan55_AWS::Lambda::Function,17
lambda_step_priceLessThan55,18
lambda_step_priceLessThan55_AWS::Lambda,19
lambda_step_priceLessThan55_AWS::Lambda::Function,20
lambda_step_readDDB,21
lambda_step_readDDB_AWS::Lambda,22
lambda_step_readDDB_AWS::Lambda::Function,23
lambdastatusupdater_AWS::Lambda,24
lambdastatusupdater_AWS::Lambda::Function,25
payforadoption_AWS::ECS::Container,26
petInfo_AWS::DynamoDB::Table,27
petlistadoptions_AWS::ECS::Fargate,28
petlistadoptions_client,29
www.amazon.com_remote,30
S3_AWS::S3,31
invalid_AWS::DynamoDB::Table,32
payforadoption_client,33
StepFunctions_AWS::StepFunctions,34
Servi-searc.us-west-2.elb.amazonaws.com_remote,35
AWS::StepFunctions::StateMachine,36
adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL,37
execute-api.us-west-2.amazonaws.com_remote,38
https://sqs.us-west-2.amazonaws.com/Services-sqspetadoption_AWS::SQS::Queue,39
servi-lista.us-west-2.elb.amazonaws.com_remote,40
servi-petsi.us-west-2.elb.amazonaws.com_remote,41
servi-searc.us-west-2.elb.amazonaws.com_remote,42
servi-payfo.us-west-2.elb.amazonaws.com_remote,43
